datetime;ip;operation;ok;http_status;message
2026-09-02T18:43:45;10.67.1.32;prepare;YES;200;9.wav загружен после очистки раздела, размер 240044
2026-09-02T18:43:47;10.95.171.6;prepare;YES;200;9.wav загружен после очистки раздела, размер 240044
2026-09-02T18:43:57;10.64.171.2;prepare;NO;;нет ответа после 3 попыток: timed out
2026-09-03T08:00:31;10.90.171.71;offline;YES;200;assistant.enable=true, online=false
2026-09-03T08:00:31;10.88.171.8;offline;YES;200;assistant.enable=true, online=false
2026-09-03T08:00:31;10.88.171.13;offline;YES;200;assistant.enable=true, online=false
2026-09-03T08:00:31;10.75.229.3;offline;YES;200;assistant.enable=true, online=false
2026-09-03T08:00:31;10.96.50.7;offline;YES;200;assistant.enable=true, online=false
2026-09-03T08:00:31;10.75.229.4;offline;YES;200;assistant.enable=true, online=false
2026-09-03T08:00:31;10.68.50.3;offline;YES;200;assistant.enable=true, online=false
2026-09-03T08:00:31;10.77.171.8;offline;YES;200;assistant.enable=true, online=false
2026-09-03T08:00:31;10.88.171.4;offline;YES;200;assistant.enable=true, online=false
2026-09-03T08:00:31;10.88.171.10;offline;YES;200;assistant.enable=true, online=false
2026-09-03T08:00:31;10.68.50.4;offline;YES;200;assistant.enable=true, online=false
2026-09-03T08:00:31;10.85.171.10;offline;YES;200;assistant.enable=true, online=false
2026-09-03T08:00:31;10.67.1.14;offline;YES;200;assistant.enable=true, online=false
2026-09-03T08:00:31;10.88.171.7;offline;YES;200;assistant.enable=true, online=false
2026-09-03T08:00:32;10.93.78.4;offline;YES;200;assistant.enable=true, online=false
2026-09-03T08:00:32;10.77.171.3;offline;YES;200;assistant.enable=true, online=false
2026-09-03T08:00:32;10.65.71.9;offline;YES;200;assistant.enable=true, online=false
2026-09-03T08:00:32;10.100.61.4;offline;YES;200;assistant.enable=true, online=false
2026-09-03T08:00:32;10.91.171.2;offline;YES;200;assistant.enable=true, online=false
2026-09-03T08:00:32;10.67.1.25;offline;YES;200;assistant.enable=true, online=false
2026-09-03T08:00:32;10.91.171.11;offline;YES;200;assistant.enable=true, online=false
2026-09-03T08:00:32;10.91.171.9;offline;YES;200;assistant.enable=true, online=false
